============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.23 - 15.20-s040_1
  Generated on:           Aug 21 2016  11:15:22 pm
  Module:                 processor
  Technology libraries:   fast_vdd1v0 1.0
                          abstract_models 
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

           Instance            Cells  Cell Area  Net Area   Total Area  Wireload     
        MUX_MANTISSA              24         56         0           56    <none> (D) 
          MUX9                     1          2         0            2    <none> (D) 
          MUX8                     1          2         0            2    <none> (D) 
          MUX7                     1          2         0            2    <none> (D) 
          MUX6                     1          2         0            2    <none> (D) 
          MUX5                     1          2         0            2    <none> (D) 
          MUX4                     1          2         0            2    <none> (D) 
          MUX3                     1          2         0            2    <none> (D) 
          MUX22                    1          2         0            2    <none> (D) 
          MUX21                    1          2         0            2    <none> (D) 
          MUX20                    1          2         0            2    <none> (D) 
          MUX2                     1          2         0            2    <none> (D) 
          MUX19                    1          2         0            2    <none> (D) 
          MUX18                    1          2         0            2    <none> (D) 
          MUX17                    1          2         0            2    <none> (D) 
          MUX16                    1          2         0            2    <none> (D) 
          MUX15                    1          2         0            2    <none> (D) 
          MUX14                    1          2         0            2    <none> (D) 
          MUX13                    1          2         0            2    <none> (D) 
          MUX12                    1          2         0            2    <none> (D) 
          MUX11                    1          2         0            2    <none> (D) 
          MUX10                    1          2         0            2    <none> (D) 
          MUX1                     1          2         0            2    <none> (D) 
          MUX0                     1          2         0            2    <none> (D) 
          MUX23                    1          1         0            1    <none> (D) 
        level9_EXPONENT_FF         8         44         0           44    <none> (D) 
